index,user_id,Database,Python,CloudComputing,DataAnalysis,Containers,MachineLearning,ComputerVision,DataScience,BigData,Chatbot,R,BackendDev,FrontendDev,Blockchain
147,59,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 33,60,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 34,61,32.0,2.0,4.0,20.0,0.0,8.0,0.0,10.0,24.0,0.0,4.0,6.0,0.0,2.0
Unnamed 35,62,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 36,63,24.0,2.0,2.0,16.0,0.0,2.0,0.0,2.0,12.0,0.0,2.0,4.0,0.0,2.0
181,64,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
199,65,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Unnamed 37,67,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Unnamed 38,68,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Unnamed 39,78,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 40,79,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
181,80,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 41,93,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Unnamed 42,102,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
142,103,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 43,104,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
120,106,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,107,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
79,108,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
199,109,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 44,110,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 45,111,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
147,112,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 46,113,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
135,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 47,116,4.0,8.0,0.0,4.0,0.0,12.0,0.0,14.0,4.0,0.0,4.0,0.0,0.0,0.0
Unnamed 48,117,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
93,118,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 49,119,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
213,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
102,121,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 50,122,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Unnamed 51,123,6.0,0.0,0.0,6.0,0.0,8.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0
133,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
213,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
79,132,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
147,133,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
181,134,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
79,135,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
213,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 52,137,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
135,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 53,146,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 54,147,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 55,154,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 56,452,6.0,0.0,0.0,3.0,0.0,6.0,0.0,3.0,3.0,0.0,12.0,0.0,0.0,0.0
Unnamed 57,589,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
Unnamed 58,704,12.0,3.0,9.0,6.0,6.0,9.0,0.0,12.0,9.0,0.0,0.0,6.0,0.0,3.0
200,768,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Unnamed 59,866,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
198,1321,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 60,1383,9.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
15,1804,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 61,1938,3.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0
Unnamed 62,2191,3.0,9.0,0.0,6.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
181,2674,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 63,3087,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,9.0,0.0,0.0
83,3264,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Unnamed 64,3450,0.0,6.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,3.0,0.0,6.0
Unnamed 65,4930,3.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0
Unnamed 66,5053,0.0,3.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0
Unnamed 67,5555,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 68,6002,3.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,9.0,0.0,0.0,3.0,0.0,0.0
102,6092,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 69,6449,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,3.0,0.0,3.0
116,6847,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,6868,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 70,7233,0.0,0.0,9.0,0.0,3.0,6.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
83,7359,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Unnamed 71,7420,0.0,12.0,0.0,6.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 72,7438,9.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0
57,7442,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 73,7458,3.0,6.0,0.0,6.0,3.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
Unnamed 74,7575,0.0,6.0,3.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0
Unnamed 75,7702,3.0,3.0,3.0,0.0,0.0,6.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0
Unnamed 76,7764,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,9.0,0.0
Unnamed 77,7789,0.0,9.0,0.0,3.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 78,7909,9.0,6.0,6.0,12.0,0.0,9.0,0.0,9.0,6.0,0.0,0.0,15.0,6.0,12.0
156,7928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 79,8030,12.0,12.0,6.0,15.0,3.0,12.0,0.0,21.0,12.0,3.0,6.0,6.0,0.0,3.0
Unnamed 80,8059,0.0,9.0,0.0,3.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 81,8075,21.0,12.0,0.0,15.0,0.0,6.0,0.0,21.0,15.0,3.0,15.0,3.0,0.0,0.0
176,8805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
156,9954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
156,10215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 82,10694,0.0,6.0,3.0,3.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,3.0
156,11633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 83,12273,3.0,3.0,0.0,0.0,0.0,9.0,0.0,15.0,3.0,3.0,6.0,0.0,0.0,0.0
156,12462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21,12833,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,12834,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
29,13224,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 84,13365,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 85,13944,6.0,9.0,0.0,3.0,0.0,6.0,0.0,9.0,3.0,0.0,6.0,0.0,0.0,0.0
Unnamed 86,14010,5.0,3.0,0.0,2.0,0.0,3.0,0.0,6.0,5.0,0.0,6.0,3.0,0.0,0.0
Unnamed 87,14030,5.0,9.0,0.0,8.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0
1,14322,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1,14392,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
178,14811,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 88,15055,6.0,9.0,0.0,3.0,0.0,3.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0
57,15508,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
156,15577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 89,15662,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
Unnamed 90,16030,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0
Unnamed 91,16164,21.0,3.0,9.0,3.0,9.0,6.0,0.0,3.0,21.0,0.0,0.0,9.0,3.0,6.0
Unnamed 92,16941,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0
Unnamed 93,16951,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0
Unnamed 94,16963,9.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,6.0,0.0,3.0
176,16982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 95,18040,6.0,3.0,0.0,9.0,0.0,18.0,0.0,14.0,12.0,0.0,2.0,3.0,0.0,3.0
Unnamed 96,18169,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0
15,18508,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,19496,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 97,19661,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
Unnamed 98,20292,3.0,9.0,3.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0
Unnamed 99,20833,18.0,6.0,0.0,6.0,0.0,9.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
Unnamed 100,20948,6.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
Unnamed 101,21475,2.0,0.0,2.0,6.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 102,21577,39.0,3.0,0.0,18.0,0.0,27.0,0.0,21.0,42.0,0.0,6.0,12.0,0.0,0.0
Unnamed 103,21709,9.0,6.0,0.0,6.0,0.0,9.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0
Unnamed 104,21750,36.0,0.0,0.0,15.0,0.0,6.0,0.0,3.0,27.0,0.0,0.0,12.0,0.0,0.0
Unnamed 105,22492,0.0,6.0,0.0,3.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
57,22708,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83,23641,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
57,23794,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 106,23877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,0.0
Unnamed 107,24234,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,3.0,0.0,0.0
176,24632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 108,24743,0.0,0.0,24.0,0.0,12.0,3.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,6.0
Unnamed 109,24868,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83,25618,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Unnamed 110,26339,15.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0
Unnamed 111,26454,6.0,3.0,0.0,6.0,0.0,0.0,0.0,15.0,3.0,0.0,3.0,0.0,0.0,0.0
135,26609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83,28895,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
83,29733,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Unnamed 112,29962,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 113,30031,24.0,9.0,0.0,18.0,0.0,11.0,0.0,5.0,30.0,0.0,3.0,3.0,0.0,3.0
57,30155,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
156,30281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Unnamed 114,30958,6.0,3.0,0.0,0.0,0.0,9.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0
Unnamed 115,31000,9.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,9.0,3.0,0.0,6.0,0.0,6.0
Unnamed 116,31054,6.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Unnamed 117,32009,0.0,9.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0
Unnamed 118,32318,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 119,32331,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 120,32444,15.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,0.0,0.0
Unnamed 121,32658,0.0,6.0,3.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,3.0
Unnamed 122,32917,9.0,6.0,0.0,12.0,0.0,18.0,0.0,9.0,12.0,0.0,3.0,3.0,0.0,0.0
Unnamed 123,32936,12.0,3.0,0.0,6.0,0.0,3.0,0.0,12.0,9.0,0.0,3.0,3.0,0.0,3.0
156,32975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
106,33218,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 124,33357,12.0,3.0,0.0,6.0,3.0,3.0,0.0,3.0,12.0,0.0,0.0,3.0,0.0,0.0
Unnamed 125,33474,9.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,6.0,0.0,6.0,3.0,0.0,0.0
Unnamed 126,33565,12.0,12.0,0.0,15.0,0.0,12.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0
57,34038,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 127,34074,30.0,12.0,3.0,18.0,0.0,18.0,0.0,9.0,30.0,3.0,3.0,9.0,0.0,3.0
Unnamed 128,34572,12.0,6.0,0.0,9.0,0.0,3.0,0.0,9.0,12.0,0.0,3.0,3.0,0.0,0.0
Unnamed 129,35928,6.0,12.0,0.0,9.0,0.0,3.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
43,36235,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 130,36321,30.0,3.0,0.0,9.0,0.0,9.0,0.0,15.0,33.0,0.0,0.0,9.0,0.0,0.0
102,36485,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 131,36585,3.0,6.0,6.0,0.0,0.0,12.0,0.0,12.0,0.0,2.0,6.0,6.0,0.0,6.0
102,37444,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Unnamed 132,37451,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
Unnamed 133,37465,12.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,3.0,0.0,0.0
156,37688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15,37892,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnamed 134,37936,12.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,6.0,0.0,0.0
83,38699,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
